Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Oblique Floor Crunches,Strength,Abs,Rotation,Beginner,,Lie on your back and twist to bring your elbow to the opposite knee.,Hold a weight for added resistance.,Keep your core engaged.,Builds oblique strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",oblique floor crunches,strength,abs,nan,beginner,Lie on your back and twist to bring your elbow to the opposite knee.,6.0
T-Cross Sit-up,Strength,Abs,Flexion,Intermediate,,"Lie on your back with arms and legs extended, sit up and touch your toes.",Hold a weight for added resistance.,Keep your core engaged.,Builds abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back",t-cross sit-up,strength,abs,nan,intermediate,"Lie on your back with arms and legs extended, sit up and touch your toes.",6.0
Leg Curl,Strength,Legs,Flexion,Intermediate,Leg Curl Machine,Curl your legs towards your buttocks while lying on the machine.,Adjust machine settings for variation.,Keep your core engaged.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back",leg curl,strength,legs,leg curl machine,intermediate,Curl your legs towards your buttocks while lying on the machine.,6.0
One Arm Reverse Pushdown,Strength,Triceps,Extension,Intermediate,Cable Machine,Push the cable down with one arm in a reverse grip.,Adjust cable height for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",one arm reverse pushdown,strength,triceps,cable machine,intermediate,Push the cable down with one arm in a reverse grip.,6.0
Push-down,Strength,Triceps,Extension,Intermediate,Cable Machine,"Push the cable down, focusing on the triceps.",Use different grips for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",push-down,strength,triceps,cable machine,intermediate,"Push the cable down, focusing on the triceps.",6.0
Concentration Curl,Strength,Biceps,Flexion,Intermediate,Dumbbell,"Sit and curl a dumbbell towards your shoulder, focusing on the biceps.",Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",concentration curl,strength,biceps,dumbbell,intermediate,"Sit and curl a dumbbell towards your shoulder, focusing on the biceps.",6.0
Seated Leg Curl,Strength,Legs,Flexion,Intermediate,Leg Curl Machine,Curl your legs towards your buttocks while seated on the machine.,Adjust machine settings for variation.,Keep your core engaged.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back",seated leg curl,strength,legs,leg curl machine,intermediate,Curl your legs towards your buttocks while seated on the machine.,6.0
Dead Bug,Strength,Abs,Flexion,Beginner,,"Lie on your back with arms and legs extended, alternate lowering opposite arm and leg.",Hold a weight for added resistance.,Keep your core engaged.,Builds core strength and stability.,Controlled.,Main workout,Stability,Rectus Abdominis,,Erector Spinae,"Core, Lower Back",dead bug,strength,abs,nan,beginner,"Lie on your back with arms and legs extended, alternate lowering opposite arm and leg.",6.0
Decline Sit-up,Strength,Abs,Flexion,Intermediate,Decline Bench,Perform sit-ups on a decline bench.,Hold a weight for added resistance.,Keep your core engaged.,Builds abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back",decline sit-up,strength,abs,decline bench,intermediate,Perform sit-ups on a decline bench.,6.0
Leg Extension,Strength,Legs,Extension,Intermediate,Leg Extension Machine,Extend your legs while seated on the machine.,Adjust machine settings for variation.,Keep your core engaged.,Builds quadriceps strength.,Controlled.,Main workout,Strength,Quadriceps,,Hamstrings,"Core, Lower Back",leg extension,strength,legs,leg extension machine,intermediate,Extend your legs while seated on the machine.,6.0
Reverse Crunch,Strength,Abs,Flexion,Beginner,,Lie on your back and lift your hips off the ground.,Hold a weight for added resistance.,Keep your core engaged.,Builds lower abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back",reverse crunch,strength,abs,nan,beginner,Lie on your back and lift your hips off the ground.,6.0
Bench Dips,Strength,Triceps,Extension,Intermediate,Bench,Place your hands on a bench behind you and dip your body down.,Use different weights for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers",bench dips,strength,triceps,bench,intermediate,Place your hands on a bench behind you and dip your body down.,6.0
Triceps Dips,Strength,Triceps,Extension,Intermediate,Dip Bar,"Dip your body down and push back up, focusing on the triceps.",Use different grips for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers",triceps dips,strength,triceps,dip bar,intermediate,"Dip your body down and push back up, focusing on the triceps.",6.0
Dumbbell Preacher Curl,Strength,Biceps,Flexion,Intermediate,Dumbbells,Curl the dumbbells towards your shoulders while seated on a preacher bench.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",dumbbell preacher curl,strength,biceps,dumbbells,intermediate,Curl the dumbbells towards your shoulders while seated on a preacher bench.,6.0
EZ Bar Preacher Curl,Strength,Biceps,Flexion,Intermediate,EZ Bar,Curl the EZ bar towards your shoulders while seated on a preacher bench.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",ez bar preacher curl,strength,biceps,ez bar,intermediate,Curl the EZ bar towards your shoulders while seated on a preacher bench.,6.0
Hammer Curl,Strength,Biceps,Flexion,Intermediate,Dumbbells,Curl the dumbbells towards your shoulders with a neutral grip.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Brachialis,Biceps,Triceps,"Core, Scapular Stabilizers",hammer curl,strength,biceps,dumbbells,intermediate,Curl the dumbbells towards your shoulders with a neutral grip.,6.0
Seated Incline Dumbbell Curl,Strength,Biceps,Flexion,Intermediate,Dumbbells,Curl the dumbbells towards your shoulders while seated on an incline bench.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",seated incline dumbbell curl,strength,biceps,dumbbells,intermediate,Curl the dumbbells towards your shoulders while seated on an incline bench.,6.0
Barbell Seated Calf Raise,Strength,Calves,Extension,Intermediate,Barbell,Sit and raise your heels while holding a barbell on your knees.,Use different weights for variation.,Keep your core engaged.,Builds calf strength.,Controlled.,Main workout,Strength,Soleus,Gastrocnemius,Tibialis Anterior,"Core, Lower Back",barbell seated calf raise,strength,calves,barbell,intermediate,Sit and raise your heels while holding a barbell on your knees.,6.0
Kneeling Cable Crunch,Strength,Abs,Flexion,Intermediate,Cable Machine,"Kneel and pull the cable down towards the ground, focusing on your abs.",Adjust cable height for variation.,Keep your core engaged.,Builds abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back",kneeling cable crunch,strength,abs,cable machine,intermediate,"Kneel and pull the cable down towards the ground, focusing on your abs.",6.0
Heel Touch,Strength,Abs,Flexion,Beginner,,"Lie on your back with knees bent, touch your heels with your hands.",Hold a weight for added resistance.,Keep your core engaged.,Builds oblique strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",heel touch,strength,abs,nan,beginner,"Lie on your back with knees bent, touch your heels with your hands.",6.0
One Arm Lying Triceps Extension,Strength,Triceps,Extension,Intermediate,Dumbbell,Lie on your back and extend a dumbbell with one arm.,Use different weights for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",one arm lying triceps extension,strength,triceps,dumbbell,intermediate,Lie on your back and extend a dumbbell with one arm.,6.0
Bodyweight Military Press,Strength,Shoulders,Push,Intermediate,,Stand and press your arms overhead as if holding a barbell.,Use resistance bands for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",bodyweight military press,strength,shoulders,nan,intermediate,Stand and press your arms overhead as if holding a barbell.,6.0
Lever Preacher Curl,Strength,Biceps,Flexion,Intermediate,Lever Machine,Curl the lever towards your shoulders while seated on a preacher bench.,Adjust machine settings for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",lever preacher curl,strength,biceps,lever machine,intermediate,Curl the lever towards your shoulders while seated on a preacher bench.,6.0
High Cable Single Arm Bicep Curl,Strength,Biceps,Flexion,Intermediate,Cable Machine,Curl the cable towards your shoulder with one arm.,Adjust cable height for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",high cable single arm bicep curl,strength,biceps,cable machine,intermediate,Curl the cable towards your shoulder with one arm.,6.0
Bench Press,Strength,Chest,Push,Intermediate,Barbell,Lie on a bench and press the barbell towards the ceiling.,Use different grips for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",bench press,strength,chest,barbell,intermediate,Lie on a bench and press the barbell towards the ceiling.,6.0
Cable Rope Overhead Triceps Extension,Strength,Triceps,Extension,Intermediate,Cable Machine,"Extend the cable overhead, focusing on the triceps.",Adjust cable height for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",cable rope overhead triceps extension,strength,triceps,cable machine,intermediate,"Extend the cable overhead, focusing on the triceps.",6.0
Lever Triceps Dip,Strength,Triceps,Extension,Intermediate,Lever Machine,"Dip the lever down, focusing on the triceps.",Adjust machine settings for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers",lever triceps dip,strength,triceps,lever machine,intermediate,"Dip the lever down, focusing on the triceps.",6.0
Romanian Deadlift,Strength,Legs,Pull,Intermediate,Barbell,Lift the barbell from the ground to your hips while keeping your back straight.,Use different grips for variation.,Keep your core engaged.,Builds hamstring and glute strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back",romanian deadlift,strength,legs,barbell,intermediate,Lift the barbell from the ground to your hips while keeping your back straight.,6.0
Pec Deck Fly,Strength,Chest,Fly,Intermediate,Pec Deck Machine,"Sit and fly the handles together, focusing on your chest muscles.",Adjust machine settings for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",pec deck fly,strength,chest,pec deck machine,intermediate,"Sit and fly the handles together, focusing on your chest muscles.",6.0
Dumbbell Pullover,Strength,Chest,Extension,Intermediate,Dumbbell,Lie on a bench and pull a dumbbell from behind your head to your chest.,Use different weights for variation.,Keep your core engaged.,Builds chest and lat strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Pectorals,,"Core, Scapular Stabilizers",dumbbell pullover,strength,chest,dumbbell,intermediate,Lie on a bench and pull a dumbbell from behind your head to your chest.,6.0
Low Cable Crossover,Strength,Chest,Fly,Intermediate,Cable Machine,"Pull the cables together from a low position, focusing on your chest.",Adjust cable height for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",low cable crossover,strength,chest,cable machine,intermediate,"Pull the cables together from a low position, focusing on your chest.",6.0
High Cable Crossover,Strength,Chest,Fly,Intermediate,Cable Machine,"Pull the cables together from a high position, focusing on your chest.",Adjust cable height for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",high cable crossover,strength,chest,cable machine,intermediate,"Pull the cables together from a high position, focusing on your chest.",6.0
Cable Upper Chest Crossovers,Strength,Chest,Fly,Intermediate,Cable Machine,"Pull the cables together from a high position, focusing on your upper chest.",Adjust cable height for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",cable upper chest crossovers,strength,chest,cable machine,intermediate,"Pull the cables together from a high position, focusing on your upper chest.",6.0
Incline Barbell Bench Press,Strength,Chest,Push,Intermediate,Barbell,Lie on an incline bench and press the barbell towards the ceiling.,Use different grips for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",incline barbell bench press,strength,chest,barbell,intermediate,Lie on an incline bench and press the barbell towards the ceiling.,6.0
Dumbbell Fly,Strength,Chest,Fly,Intermediate,Dumbbells,"Lie on a bench and fly the dumbbells together, focusing on your chest.",Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell fly,strength,chest,dumbbells,intermediate,"Lie on a bench and fly the dumbbells together, focusing on your chest.",6.0
Dumbbell Bench Press,Strength,Chest,Push,Intermediate,Dumbbells,Lie on a bench and press the dumbbells towards the ceiling.,Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell bench press,strength,chest,dumbbells,intermediate,Lie on a bench and press the dumbbells towards the ceiling.,6.0
Cable Crossover,Strength,Chest,Fly,Intermediate,Cable Machine,"Pull the cables together, focusing on your chest.",Adjust cable height for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",cable crossover,strength,chest,cable machine,intermediate,"Pull the cables together, focusing on your chest.",6.0
One-Arm Cable Chest Press,Strength,Chest,Push,Intermediate,Cable Machine,"Press the cable forward with one arm, focusing on your chest.",Adjust cable height for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",one-arm cable chest press,strength,chest,cable machine,intermediate,"Press the cable forward with one arm, focusing on your chest.",6.0
Lying Barbell Triceps Extension,Strength,Triceps,Extension,Intermediate,Barbell,Lie on a bench and extend the barbell from your forehead to the ceiling.,Use different weights for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",lying barbell triceps extension,strength,triceps,barbell,intermediate,Lie on a bench and extend the barbell from your forehead to the ceiling.,6.0
One Arm Cable Curl,Strength,Biceps,Flexion,Intermediate,Cable Machine,Curl the cable towards your shoulder with one arm.,Adjust cable height for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",one arm cable curl,strength,biceps,cable machine,intermediate,Curl the cable towards your shoulder with one arm.,6.0
Push Press,Strength,Shoulders,Push,Intermediate,Barbell,Press the barbell overhead with a slight leg drive.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers",push press,strength,shoulders,barbell,intermediate,Press the barbell overhead with a slight leg drive.,6.0
Single-Arm Cable Crossover,Strength,Chest,Fly,Intermediate,Cable Machine,"Pull the cable across your body with one arm, focusing on your chest.",Adjust cable height for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",single-arm cable crossover,strength,chest,cable machine,intermediate,"Pull the cable across your body with one arm, focusing on your chest.",6.0
Incline Dumbbell Fly,Strength,Chest,Fly,Intermediate,Dumbbells,"Lie on an incline bench and fly the dumbbells together, focusing on your chest.",Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",incline dumbbell fly,strength,chest,dumbbells,intermediate,"Lie on an incline bench and fly the dumbbells together, focusing on your chest.",6.0
Incline Dumbbell Press,Strength,Chest,Push,Intermediate,Dumbbells,Lie on an incline bench and press the dumbbells towards the ceiling.,Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",incline dumbbell press,strength,chest,dumbbells,intermediate,Lie on an incline bench and press the dumbbells towards the ceiling.,6.0
Reverse Grip Incline Dumbbell Press,Strength,Chest,Push,Intermediate,Dumbbells,Lie on an incline bench and press the dumbbells towards the ceiling with a reverse grip.,Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",reverse grip incline dumbbell press,strength,chest,dumbbells,intermediate,Lie on an incline bench and press the dumbbells towards the ceiling with a reverse grip.,6.0
Sphinx Stretch,Stretching,Full Body,Flexion,Beginner,,Lie on your stomach and lift your chest up with your forearms on the ground.,Use a block for support.,Keep your core engaged.,Stretches the lower back and chest.,Static.,Cool-down,Stability,Erector Spinae,Glutes,Rectus Abdominis,"Core, Lower Back",sphinx stretch,stretching,full body,nan,beginner,Lie on your stomach and lift your chest up with your forearms on the ground.,6.0
Standing Rotation,Stretching,Full Body,Rotation,Beginner,,Stand and rotate your torso side to side.,Use a resistance band for variation.,Keep your core engaged.,Improves spinal mobility.,Dynamic.,Warm-up,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",standing rotation,stretching,full body,nan,beginner,Stand and rotate your torso side to side.,6.0
Upper Back Stretch,Stretching,Full Body,Flexion,Beginner,,"Sit or stand and round your upper back, reaching your arms forward.",Use a wall for support.,Keep your core engaged.,Stretches the upper back.,Static.,Cool-down,Stability,Erector Spinae,Glutes,Rectus Abdominis,"Core, Lower Back",upper back stretch,stretching,full body,nan,beginner,"Sit or stand and round your upper back, reaching your arms forward.",6.0
Cable Tricep Kickback,Strength,Triceps,Extension,Intermediate,Cable Machine,"Extend the cable behind you, focusing on the triceps.",Adjust cable height for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",cable tricep kickback,strength,triceps,cable machine,intermediate,"Extend the cable behind you, focusing on the triceps.",6.0
Machine Fly,Strength,Chest,Fly,Intermediate,Machine,"Sit and fly the handles together, focusing on your chest muscles.",Adjust machine settings for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",machine fly,strength,chest,machine,intermediate,"Sit and fly the handles together, focusing on your chest muscles.",6.0
Barbell Reverse Curl,Strength,Biceps,Flexion,Intermediate,Barbell,Curl the barbell towards your shoulders with a reverse grip.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Forearm Extensors,Brachialis,Forearm Flexors,"Core, Scapular Stabilizers",barbell reverse curl,strength,biceps,barbell,intermediate,Curl the barbell towards your shoulders with a reverse grip.,6.0
Barbell Hack Squats,Strength,Legs,Push,Intermediate,Barbell,Stand with the barbell behind you and squat down.,Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",barbell hack squats,strength,legs,barbell,intermediate,Stand with the barbell behind you and squat down.,6.0
Triceps Dips on Floor,Strength,Triceps,Extension,Intermediate,,"Sit on the floor and dip your body down and up, focusing on the triceps.",Use a bench for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers",triceps dips on floor,strength,triceps,nan,intermediate,"Sit on the floor and dip your body down and up, focusing on the triceps.",6.0
Kneeling High Pulley Row,Strength,Back,Pull,Intermediate,Cable Machine,Kneel and row the cable towards your torso.,Adjust cable height for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back",kneeling high pulley row,strength,back,cable machine,intermediate,Kneel and row the cable towards your torso.,6.0
Cable One-Arm Wrist Curl On Floor,Strength,Forearms,Flexion,Intermediate,Cable Machine,Curl the cable with one arm while seated on the floor.,Adjust cable height for variation.,Keep your core engaged.,Builds forearm strength.,Controlled.,Main workout,Strength,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers",cable one-arm wrist curl on floor,strength,forearms,cable machine,intermediate,Curl the cable with one arm while seated on the floor.,6.0
Barbell Sumo Squat,Strength,Legs,Push,Intermediate,Barbell,"Stand with your feet wider than shoulder-width apart, toes pointing out, and squat down holding a barbell.",Use different weights for variation.,Keep your back straight and core engaged.,Builds leg strength and targets inner thighs.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",barbell sumo squat,strength,legs,barbell,intermediate,"Stand with your feet wider than shoulder-width apart, toes pointing out, and squat down holding a barbell.",6.0
Lever Standing Rear Kick,Strength,Glutes,Extension,Intermediate,Lever Machine,"Kick the lever back, focusing on the glutes.",Adjust machine settings for variation.,Keep your core engaged.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",lever standing rear kick,strength,glutes,lever machine,intermediate,"Kick the lever back, focusing on the glutes.",6.0
Dumbbell Seated Front and Back Tate Press,Strength,Triceps,Extension,Intermediate,Dumbbells,"Sit and press the dumbbells overhead, alternating front and back.",Use different weights for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",dumbbell seated front and back tate press,strength,triceps,dumbbells,intermediate,"Sit and press the dumbbells overhead, alternating front and back.",6.0
Decline Dumbbell Press,Strength,Chest,Push,Intermediate,Dumbbells,Lie on a decline bench and press the dumbbells towards the ceiling.,Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",decline dumbbell press,strength,chest,dumbbells,intermediate,Lie on a decline bench and press the dumbbells towards the ceiling.,6.0
Good Morning,Strength,Back,Extension,Intermediate,Barbell,"Stand and bend forward at the hips, keeping your back straight.",Use different weights for variation.,Keep your core engaged.,Builds lower back and hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back",good morning,strength,back,barbell,intermediate,"Stand and bend forward at the hips, keeping your back straight.",6.0
Dumbbell Bulgarian Split Squat,Strength,Legs,Push,Intermediate,Dumbbells,Stand with one leg on a bench behind you and squat down holding dumbbells.,Use different weights for variation.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",dumbbell bulgarian split squat,strength,legs,dumbbells,intermediate,Stand with one leg on a bench behind you and squat down holding dumbbells.,6.0
Weighted Back Extension,Strength,Back,Extension,Intermediate,Weight,Lie on a back extension bench and lift your torso while holding a weight.,Use different weights for variation.,Keep your core engaged.,Builds lower back strength.,Controlled.,Main workout,Strength,Erector Spinae,"Glutes, Hamstrings",Rectus Abdominis,"Core, Lower Back",weighted back extension,strength,back,weight,intermediate,Lie on a back extension bench and lift your torso while holding a weight.,6.0
Lever Incline Chest Press,Strength,Chest,Push,Intermediate,Lever Machine,Lie on an incline bench and press the lever towards the ceiling.,Adjust machine settings for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",lever incline chest press,strength,chest,lever machine,intermediate,Lie on an incline bench and press the lever towards the ceiling.,6.0
Dumbbell Squat,Strength,Legs,Push,Beginner,Dumbbells,Stand with feet shoulder-width apart and squat down holding dumbbells.,Use different weights for variation.,Keep your back straight and core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",dumbbell squat,strength,legs,dumbbells,beginner,Stand with feet shoulder-width apart and squat down holding dumbbells.,6.0
Depth Jump to Hurdle Hop,Plyometric,Legs,Jump,Advanced,,Jump off a platform and immediately hop over a hurdle.,Use different heights for variation.,Keep your core engaged.,Builds explosive leg power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",depth jump to hurdle hop,plyometric,legs,nan,advanced,Jump off a platform and immediately hop over a hurdle.,6.0
Waiter Curl,Strength,Biceps,Flexion,Intermediate,Dumbbells,Hold a dumbbell in one hand and curl it towards your shoulder.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",waiter curl,strength,biceps,dumbbells,intermediate,Hold a dumbbell in one hand and curl it towards your shoulder.,6.0
Power Lunge,Strength,Legs,Push,Intermediate,,"Lunge forward and then jump, switching legs in the air.",Hold weights for added resistance.,Keep your core engaged.,Builds leg strength and endurance.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",power lunge,strength,legs,nan,intermediate,"Lunge forward and then jump, switching legs in the air.",6.0
Shadow Boxing,Cardio,Full Body,Punch,Beginner,,Throw punches in the air as if fighting an imaginary opponent.,Use weights for added resistance.,Keep your core engaged.,Builds cardiovascular endurance and coordination.,Dynamic.,Cardio,Cardio,Deltoids,"Triceps, Pectorals",Latissimus Dorsi,"Core, Scapular Stabilizers",shadow boxing,cardio,full body,nan,beginner,Throw punches in the air as if fighting an imaginary opponent.,8.0
Standing Dumbbell Shoulder Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Stand and press the dumbbells overhead.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",standing dumbbell shoulder press,strength,shoulders,dumbbells,intermediate,Stand and press the dumbbells overhead.,6.0
Dumbbell Deadlift,Strength,Legs,Pull,Intermediate,Dumbbells,Lift the dumbbells from the ground to your hips while keeping your back straight.,Use different weights for variation.,Keep your core engaged.,Builds full body strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back",dumbbell deadlift,strength,legs,dumbbells,intermediate,Lift the dumbbells from the ground to your hips while keeping your back straight.,6.0
Dumbbell Sumo Deadlift,Strength,Legs,Pull,Intermediate,Dumbbells,"Stand with your feet wider than shoulder-width apart, toes pointing out, and lift the dumbbells from the ground to your hips.",Use different weights for variation.,Keep your core engaged.,Builds leg and back strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",dumbbell sumo deadlift,strength,legs,dumbbells,intermediate,"Stand with your feet wider than shoulder-width apart, toes pointing out, and lift the dumbbells from the ground to your hips.",6.0
